Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
151,D-threo-Isocitric acid,HMDB0001874,5318532,151,C00451,3328,O[C@H]([C@H](CC(O)=O)C(O)=O)C(O)=O,1
2038,Azacitidine,HMDB0015063,9444,2038,C11262,NA,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
2086,5-Methoxydimethyltryptamine,HMDB0002004,1832,2086,C08309,NA,COC1=CC2=C(NC=C2CCN(C)C)C=C1,1
5679,Herniarin,HMDB0029758,10748,5679,C09268,NA,COC1=CC2=C(C=CC(=O)O2)C=C1,1
6731,Melezitose,HMDB0011730,92817,6731,C08243,NA,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,1
2444,NA,NA,NA,NA,NA,NA,NA,0
2512,Agathisflavone,NA,5281599,2512,C10017,NA,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c(O)c12,1
2555,Aldicarb,HMDB0248124,9570071,2555,NA,NA,CNC(=O)ON=CC(C)(C)SC,1
2668,Amlodipine,HMDB0005018,2162,2668,C06825,955,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,1
2675,Amoxapine,HMDB0014683,2170,2675,NA,NA,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,1
3686,Chrysophanol-9-anthrone,HMDB0250218,NA,3686,C10314,NA,CC1=CC(O)=C2C(=O)C3=C(CC2=C1)C=CC=C3O,1
4792,Enflurane,HMDB0014373,3226,4792,C07516,NA,FC(F)OC(F)(F)C(F)Cl,1
10319,1-Naphthol,HMDB0012138,7005,10319,C11714,NA,OC1=C2C=CC=CC2=CC=C1,1
10335,"2,2':5',2''-Terthiophene",HMDB0245378,65067,10335,C08460,NA,S1C=CC=C1C1=CC=C(S1)C1=CC=CS1,1
7492,Nedocromil,HMDB0014854,50294,7492,C07255,NA,CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O,1
7494,Nefazodone,HMDB0015280,4449,7494,C07256,NA,CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1,1
11047,NA,NA,NA,NA,NA,NA,NA,0
11060,NA,NA,NA,NA,NA,NA,NA,0
1784,4-Aminobiphenyl,HMDB0013195,7102,1784,C10998,NA,NC1=CC=C(C=C1)C1=CC=CC=C1,1
1800,4-Chloro-2-methylphenol,HMDB0246384,NA,1800,C03359,NA,CC1=CC(Cl)=CC=C1O,1
422,Lactic acid,HMDB0000190,107689,422,C00186,5205,C[C@H](O)C(O)=O,1
479,NA,NA,NA,NA,NA,NA,NA,0
1883,4-Hydroxystyrene,HMDB0004072,62453,1883,C05627,7012,OC1=CC=C(C=C)C=C1,1
2710,5-Androstenediol,HMDB0003818,10634,2710,C04295,6983,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,1
5530,NA,NA,NA,NA,NA,NA,NA,0
5552,Guaiol,HMDB0252966,521245,5552,C09676,NA,CC1CCC2=C1CC(CCC2C)C(C)(C)O,1
9457,Terpinolene,HMDB0036994,11463,9457,C06075,NA,CC(C)=C1CCC(C)=CC1,1
9460,Testolactone,HMDB0015031,13769,9460,C02197,NA,[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)OC(=O)CC[C@@]21[H],1
9493,Tetrahymanol,HMDB0006836,168951,9493,C06083,NA,[H][C@@]12CC[C@]3(C)[C@]([H])(CC[C@]4([H])[C@@]5(C)CC[C@H](O)C(C)(C)[C@]5([H])CC[C@@]34C)[C@@]1(C)CCCC2(C)C,1
9494,NA,NA,NA,NA,NA,NA,NA,0
9519,Thebaine,NA,8424,9519,C06173,NA,NA,1
